"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",0.294332723948812,0.27563025210084,0.264184397163121,0.272887323943662,0.290265486725664,0.265342960288809,0.27158273381295,0.301694915254237,0.285229202037351,0.28,0.252991452991453,0.285714285714286,0.277003484320557,0.326785714285714,0.269230769230769,0.316939890710383,0.276707530647986,0.25,0.285714285714286,0.248188405797101
"2",0.124314442413163,0.114285714285714,0.111702127659574,0.119718309859155,0.153982300884956,0.120938628158845,0.142086330935252,0.142372881355932,0.123938879456706,0.143333333333333,0.128205128205128,0.125435540069686,0.106271777003484,0.160714285714286,0.117056856187291,0.132969034608379,0.138353765323993,0.111888111888112,0.116279069767442,0.114130434782609
"3",0.107861060329068,0.110924369747899,0.099290780141844,0.0933098591549296,0.109734513274336,0.0956678700361011,0.0881294964028777,0.106779661016949,0.103565365025467,0.115,0.0905982905982906,0.0871080139372822,0.0888501742160279,0.125,0.096989966555184,0.114754098360656,0.0998248686514886,0.0856643356643357,0.104651162790698,0.0942028985507246
"4",0.106032906764168,0.109243697478992,0.0921985815602837,0.0915492957746479,0.102654867256637,0.0938628158844765,0.0863309352517986,0.0949152542372881,0.0967741935483871,0.116666666666667,0.094017094017094,0.0836236933797909,0.0836236933797909,0.114285714285714,0.0903010033444816,0.109289617486339,0.0980735551663748,0.0821678321678322,0.0996677740863787,0.0923913043478261
"5",0.104204753199269,0.109243697478992,0.0904255319148936,0.0845070422535211,0.102654867256637,0.092057761732852,0.0827338129496403,0.0864406779661017,0.0882852292020374,0.113333333333333,0.0854700854700855,0.0801393728222996,0.0818815331010453,0.110714285714286,0.088628762541806,0.105646630236794,0.0928196147110333,0.0874125874125874,0.0930232558139535,0.0851449275362319
"6",0.102376599634369,0.107563025210084,0.0904255319148936,0.0827464788732394,0.102654867256637,0.0902527075812274,0.0809352517985611,0.088135593220339,0.0882852292020374,0.11,0.0905982905982906,0.0801393728222996,0.0766550522648084,0.108928571428571,0.0852842809364548,0.103825136612022,0.0893169877408056,0.0856643356643357,0.0946843853820598,0.0905797101449275
"7",0.104204753199269,0.109243697478992,0.0904255319148936,0.0845070422535211,0.102654867256637,0.0902527075812274,0.0809352517985611,0.088135593220339,0.0882852292020374,0.101666666666667,0.0871794871794872,0.0801393728222996,0.0801393728222996,0.105357142857143,0.0852842809364548,0.105646630236794,0.0893169877408056,0.0856643356643357,0.0963455149501661,0.0905797101449275
"8",0.104204753199269,0.105882352941176,0.0886524822695035,0.0862676056338028,0.100884955752212,0.0902527075812274,0.0827338129496403,0.0830508474576271,0.0848896434634974,0.108333333333333,0.0871794871794872,0.0818815331010453,0.0836236933797909,0.108928571428571,0.088628762541806,0.105646630236794,0.0945709281961471,0.0839160839160839,0.0930232558139535,0.0869565217391304
"9",0.106032906764168,0.109243697478992,0.0904255319148936,0.0845070422535211,0.0991150442477876,0.0902527075812274,0.0827338129496403,0.0847457627118644,0.0865874363327674,0.103333333333333,0.0923076923076923,0.078397212543554,0.0801393728222996,0.1125,0.088628762541806,0.111111111111111,0.0893169877408056,0.0856643356643357,0.0913621262458472,0.088768115942029
"10",0.102376599634369,0.107563025210084,0.0904255319148936,0.0862676056338028,0.0973451327433628,0.0902527075812274,0.0845323741007194,0.0847457627118644,0.0882852292020374,0.101666666666667,0.0871794871794872,0.0801393728222996,0.0766550522648084,0.105357142857143,0.088628762541806,0.107468123861566,0.0893169877408056,0.0839160839160839,0.0897009966777409,0.0869565217391304
"11",0.0987202925045704,0.104201680672269,0.0921985815602837,0.0809859154929577,0.0991150442477876,0.092057761732852,0.079136690647482,0.088135593220339,0.0882852292020374,0.106666666666667,0.0871794871794872,0.078397212543554,0.0818815331010453,0.105357142857143,0.088628762541806,0.105646630236794,0.0875656742556918,0.0839160839160839,0.0897009966777409,0.0869565217391304
